Name,Condition,Severity,Target scope,Target resource type,Signal type,Status
Abbott File Converter - Failed to transform or map the file to PULR,Table rows >= 1 ,Sev1,prestage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott File Converter - Failed to transform or map the file to PULR,Table rows >= 1 ,Sev1,prod-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott File Converter - Failed to transform or map the file to PULR,Table rows >= 1 ,Sev1,stage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott File Converter - Failed to transform or map the file to PULR,Table rows >= 1 ,Sev1,dev-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott File Converter - Failed to transform or map the file to PULR,Table rows >= 1 ,Sev1,pf-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott File Converter - Failed to transform or map the file to PULR,Table rows >= 1 ,Sev1,qa-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration - AccessionCode is Missing from Result File,Table rows >= 1 ,Sev1,prestage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration - AccessionCode is Missing from Result File,Table rows >= 1 ,Sev1,prod-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration - AccessionCode is Missing from Result File,Table rows >= 1 ,Sev1,stage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration - AccessionCode is Missing from Result File,Table rows >= 1 ,Sev1,dev-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration - AccessionCode is Missing from Result File,Table rows >= 1 ,Sev1,pf-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration - AccessionCode is Missing from Result File,Table rows >= 1 ,Sev1,qa-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration - Invalid Result File,Table rows >= 1 ,Sev1,prestage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration - Invalid Result File,Table rows >= 1 ,Sev1,prod-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration - Invalid Result File,Table rows >= 1 ,Sev1,stage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration - Invalid Result File,Table rows >= 1 ,Sev1,dev-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration - Invalid Result File,Table rows >= 1 ,Sev1,pf-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration - Invalid Result File,Table rows >= 1 ,Sev1,qa-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration - Result File Exceeded the Size Limits,Table rows >= 1 ,Sev1,prestage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration - Result File Exceeded the Size Limits,Table rows >= 1 ,Sev1,prod-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration - Result File Exceeded the Size Limits,Table rows >= 1 ,Sev1,stage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration - Result File Exceeded the Size Limits,Table rows >= 1 ,Sev1,dev-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration - Result File Exceeded the Size Limits,Table rows >= 1 ,Sev1,pf-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration - Result File Exceeded the Size Limits,Table rows >= 1 ,Sev1,qa-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration- Failed to connect to SFTP,Table rows >= 1 ,Sev1,prestage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration- Failed to connect to SFTP,Table rows >= 1 ,Sev1,prod-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration- Failed to connect to SFTP,Table rows >= 1 ,Sev1,stage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration- Failed to connect to SFTP,Table rows >= 1 ,Sev1,dev-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration- Failed to connect to SFTP,Table rows >= 1 ,Sev1,pf-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Lab Integration- Failed to connect to SFTP,Table rows >= 1 ,Sev1,qa-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Uniform Lab Result - Map PULR to ULR Failed,Table rows >= 1 ,Sev1,prestage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Uniform Lab Result - Map PULR to ULR Failed,Table rows >= 1 ,Sev1,prod-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Uniform Lab Result - Map PULR to ULR Failed,Table rows >= 1 ,Sev1,stage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Uniform Lab Result - Map PULR to ULR Failed,Table rows >= 1 ,Sev1,dev-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Uniform Lab Result - Map PULR to ULR Failed,Table rows >= 1 ,Sev1,pf-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Uniform Lab Result - Map PULR to ULR Failed,Table rows >= 1 ,Sev1,qa-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Uniform Lab Result - Raw Result to PULR Failed,Table rows >= 1 ,Sev1,prestage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Uniform Lab Result - Raw Result to PULR Failed,Table rows >= 1 ,Sev1,prod-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Uniform Lab Result - Raw Result to PULR Failed,Table rows >= 1 ,Sev1,stage-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Uniform Lab Result - Raw Result to PULR Failed,Table rows >= 1 ,Sev1,dev-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Uniform Lab Result - Raw Result to PULR Failed,Table rows >= 1 ,Sev1,pf-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Abbott Uniform Lab Result - Raw Result to PULR Failed,Table rows >= 1 ,Sev1,qa-dps-app-insights,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
account_webapp_stopped_aler,Category=Administrative%2C Operation name=microsoft.web/sites/stop/Action,Sev4,prestage-dps-account,App Service,microsoft.insights/activitylogalerts,Enabled
account_webapp_stopped_aler,Category=Administrative%2C Operation name=microsoft.web/sites/stop/Action,Sev4,prod-dps-account,App Service,microsoft.insights/activitylogalerts,Enabled
account_webapp_stopped_aler,Category=Administrative%2C Operation name=microsoft.web/sites/stop/Action,Sev4,stage-dps-account,App Service,microsoft.insights/activitylogalerts,Enabled
account_webapp_stopped_alert,Category=Administrative%2C Operation name=microsoft.web/sites/stop/Action,Sev4,dev-dps-account,App Service,microsoft.insights/activitylogalerts,Enabled
account_webapp_stopped_alert,Category=Administrative%2C Operation name=microsoft.web/sites/stop/Action,Sev4,pf-dps-account,App Service,microsoft.insights/activitylogalerts,Enabled
account_webapp_stopped_alert,Category=Administrative%2C Operation name=microsoft.web/sites/stop/Action,Sev4,qa-dps-account,App Service,microsoft.insights/activitylogalerts,Enabled
alert for app configuration metrics,HttpIncomingRequestCount > 5000,Sev0,prd-fis-portal-eus-appcs,App Configuration,microsoft.insights/metricalerts,Enabled
Alert for dev-dps-generic-report-web,exceptions/count >= 0,Sev1,dev-dps-app-insights,Application Insights,microsoft.insights/metricalerts,Enabled
alert for event hub,ServerErrors >= 1 and 1 more condition,Sev0,prd-fis-portal-eus-evhns,Event Hubs Namespace,microsoft.insights/metricalerts,Enabled
app services critical alerts,CpuTime > 45 and 3 more conditions,Sev3,prd-fis-portal-eus-app,App Service,microsoft.insights/metricalerts,Enabled
App-Gatewaye Unhealthy Host,UnhealthyHostCount > 5,Sev3,dps-prod-appgw,Application gateway,microsoft.insights/metricalerts,Enabled
AppHealth,Previous resource status=All%2C Current resource status=All,Sev4,disademo,App Service,microsoft.insights/activitylogalerts,Enabled
Availability,Availability < 90,Sev3,cloudockitdisascreen,Storage account,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - avd-cc-0,Available Memory Bytes < 1000000000,Sev3,avd-cc-0,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - AVD-CC-1,Available Memory Bytes < 1000000000,Sev3,AVD-CC-1,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - AVD-CC-10,Available Memory Bytes < 1000000000,Sev3,AVD-CC-10,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - AVD-CC-2,Available Memory Bytes < 1000000000,Sev3,AVD-CC-2,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - AVD-CC-3,Available Memory Bytes < 1000000000,Sev3,AVD-CC-3,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - AVD-CC-4,Available Memory Bytes < 1000000000,Sev3,AVD-CC-4,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - AVD-CC-5,Available Memory Bytes < 1000000000,Sev3,AVD-CC-5,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - AVD-CC-6,Available Memory Bytes < 1000000000,Sev3,AVD-CC-6,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - AVD-CC-7,Available Memory Bytes < 1000000000,Sev3,AVD-CC-7,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - AVD-Corp-0,Available Memory Bytes < 1000000000,Sev3,AVD-Corp-0,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - dev-textvm,Available Memory Bytes < 1000000000,Sev3,dev-textvm,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - dps-dev-vm,Available Memory Bytes < 1000000000,Sev3,dps-dev-vm,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - dps-life-vm,Available Memory Bytes < 1000000000,Sev3,dps-life-vm,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - dps-prod-vm,Available Memory Bytes < 1000000000,Sev3,dps-prod-vm,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - dps-test-vm,Available Memory Bytes < 1000000000,Sev3,dps-test-vm,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - dps-test-vm,Available Memory Bytes < 1000000000,Sev3,dps-test-vm,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - HS-Dev-App01,Available Memory Bytes < 1000000000,Sev3,HS-Dev-App01,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - HS-Dev-DB,Available Memory Bytes < 1000000000,Sev3,HS-Dev-DB,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - HS-Dev-Trainer,Available Memory Bytes < 1000000000,Sev3,HS-Dev-Trainer,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - HS-Prod-App01-1,Available Memory Bytes < 1000000000,Sev3,HS-Prod-App01-1,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - HS-Prod-App01-2,Available Memory Bytes < 1000000000,Sev3,HS-Prod-App01-2,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - HS-Prod-App02-1,Available Memory Bytes < 1000000000,Sev3,HS-Prod-App02-1,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - HS-Prod-App02-2,Available Memory Bytes < 1000000000,Sev3,HS-Prod-App02-2,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - HS-Prod-DB,Available Memory Bytes < 1000000000,Sev3,HS-Prod-DB,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - HS-Prod-DB2,Available Memory Bytes < 1000000000,Sev3,HS-Prod-DB2,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - HS-Prod-Trainer-1,Available Memory Bytes < 1000000000,Sev3,HS-Prod-Trainer-1,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - HS-Prod-Trainer-2,Available Memory Bytes < 1000000000,Sev3,HS-Prod-Trainer-2,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - LINUX-PRD,Available Memory Bytes < 1000000000,Sev3,LINUX-PRD,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - nonprod-dps-agent2,Available Memory Bytes < 1000000000,Sev3,nonprod-dps-agent2,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - PR-MDP01-AZ1,Available Memory Bytes < 1000000000,Sev3,PR-MDP01-AZ1,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - prd-alz-scrspk-eus-vm-01,Available Memory Bytes < 1000000000,Sev3,prd-alz-scrspk-eus-vm-01,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - prod-bast,Available Memory Bytes < 1000000000,Sev3,prod-bast,Virtual machine,microsoft.insights/metricalerts,Enabled
Available Memory Bytes - prod-ssrs,Available Memory Bytes < 1000000000,Sev3,prod-ssrs,Virtual machine,microsoft.insights/metricalerts,Enabled
blob_storage_health,Previous resource status=Unknown and 3 more %2C Current resource status=Unknown and 2 more ,Sev4,prestagedpslabint,All,microsoft.insights/activitylogalerts,Enabled
blob_storage_health,Previous resource status=Unknown and 3 more %2C Current resource status=Unknown and 2 more ,Sev4,proddpslabint,All,microsoft.insights/activitylogalerts,Enabled
blob_storage_health,Previous resource status=Unknown and 3 more %2C Current resource status=Unknown and 2 more ,Sev4,stagedpslabint,All,microsoft.insights/activitylogalerts,Enabled
blob_storage_health,Previous resource status=Unknown and 3 more %2C Current resource status=Unknown and 2 more ,Sev4,devdpslabint,All,microsoft.insights/activitylogalerts,Enabled
blob_storage_health,Previous resource status=Unknown and 3 more %2C Current resource status=Unknown and 2 more ,Sev4,pfdpslabint,All,microsoft.insights/activitylogalerts,Enabled
