Name,Severity,Affected resource,Target resource type,Alert condition,User response,Monitor service,Signal type,Fire time,Last modified time,Subscription,Target resource group,Suppression status
servicebus-database-alert,Sev0,/subscriptions/5be74b0f-6308-4a65-9578-936d14d701cb/resourcegroups/dps_stage_shared_rg/providers/microsoft.servicebus/namespaces/stage-dps-service-bus,microsoft.servicebus/namespaces,Fired,New,Platform,Metrics,2025-10-27T06:16:02.6717423Z,2025-10-27T06:16:02.6717423Z,5be74b0f-6308-4a65-9578-936d14d701cb,dps_stage_shared_rg,None
servicebus-database-alert,Sev0,/subscriptions/5be74b0f-6308-4a65-9578-936d14d701cb/resourcegroups/dps_prod_shared_rg/providers/microsoft.servicebus/namespaces/prod-dps-service-bus,microsoft.servicebus/namespaces,Fired,New,Platform,Metrics,2025-10-27T06:13:39.4057826Z,2025-10-27T06:13:39.4057826Z,5be74b0f-6308-4a65-9578-936d14d701cb,dps_prod_shared_rg,None
CRL Lab Integration - AccessionCode is Missing from idx file,Sev1,/subscriptions/dfb4d041-5ad4-42d1-9c44-7b83c06762be/resourcegroups/dps_qa_shared_rg/providers/microsoft.insights/components/qa-dps-app-insights,microsoft.insights/components,Fired,New,Application Insights,Log search,2025-10-28T00:50:30.7617785Z,2025-10-28T00:50:30.7617785Z,dfb4d041-5ad4-42d1-9c44-7b83c06762be,dps_qa_shared_rg,None
Abbott Lab Integration- Failed to connect to SFTP,Sev1,/subscriptions/dfb4d041-5ad4-42d1-9c44-7b83c06762be/resourcegroups/dps_dev_shared_rg/providers/microsoft.insights/components/dev-dps-app-insights,microsoft.insights/components,Fired,New,Application Insights,Log search,2025-10-28T00:49:00.9107483Z,2025-10-28T00:49:00.9107483Z,dfb4d041-5ad4-42d1-9c44-7b83c06762be,dps_dev_shared_rg,None
Uniform Lab Result - Form association with Result failed,Sev1,/subscriptions/dfb4d041-5ad4-42d1-9c44-7b83c06762be/resourcegroups/dps_qa_shared_rg/providers/microsoft.insights/components/qa-dps-app-insights,microsoft.insights/components,Fired,New,Log Alerts V2,Log search,2025-10-28T00:46:12.5938979Z,2025-10-28T00:46:12.5938979Z,dfb4d041-5ad4-42d1-9c44-7b83c06762be,dps_qa_shared_rg,None
CRL Lab Integration - AccessionCode is Missing from idx file,Sev1,/subscriptions/dfb4d041-5ad4-42d1-9c44-7b83c06762be/resourcegroups/dps_qa_shared_rg/providers/microsoft.insights/components/qa-dps-app-insights,microsoft.insights/components,Fired,New,Application Insights,Log search,2025-10-28T00:45:31.8917845Z,2025-10-28T00:45:31.8917845Z,dfb4d041-5ad4-42d1-9c44-7b83c06762be,dps_qa_shared_rg,None
Error-TestResultProcessCompleted Event Function Failed,Sev1,/subscriptions/5be74b0f-6308-4a65-9578-936d14d701cb/resourcegroups/dps_prod_shared_rg/providers/microsoft.insights/components/prod-dps-app-insights,microsoft.insights/components,Fired,New,Application Insights,Log search,2025-10-28T00:45:08.3048214Z,2025-10-28T00:45:08.3048214Z,5be74b0f-6308-4a65-9578-936d14d701cb,dps_prod_shared_rg,None
Uniform Lab Result - Form association with Result failed,Sev1,/subscriptions/dfb4d041-5ad4-42d1-9c44-7b83c06762be/resourcegroups/dps_qa_shared_rg/providers/microsoft.insights/components/qa-dps-app-insights,microsoft.insights/components,Fired,New,Log Alerts V2,Log search,2025-10-28T00:41:12.6544018Z,2025-10-28T00:41:12.6544018Z,dfb4d041-5ad4-42d1-9c44-7b83c06762be,dps_qa_shared_rg,None
CRL Lab Integration - AccessionCode is Missing from idx file,Sev1,/subscriptions/dfb4d041-5ad4-42d1-9c44-7b83c06762be/resourcegroups/dps_qa_shared_rg/providers/microsoft.insights/components/qa-dps-app-insights,microsoft.insights/components,Fired,New,Application Insights,Log search,2025-10-28T00:40:30.9175381Z,2025-10-28T00:40:30.9175381Z,dfb4d041-5ad4-42d1-9c44-7b83c06762be,dps_qa_shared_rg,None
Uniform Lab Result - Form association with Result failed,Sev1,/subscriptions/dfb4d041-5ad4-42d1-9c44-7b83c06762be/resourcegroups/dps_qa_shared_rg/providers/microsoft.insights/components/qa-dps-app-insights,microsoft.insights/components,Fired,New,Log Alerts V2,Log search,2025-10-28T00:36:14.0874282Z,2025-10-28T00:36:14.0874282Z,dfb4d041-5ad4-42d1-9c44-7b83c06762be,dps_qa_shared_rg,None
CRL Lab Integration - AccessionCode is Missing from idx file,Sev1,/subscriptions/dfb4d041-5ad4-42d1-9c44-7b83c06762be/resourcegroups/dps_qa_shared_rg/providers/microsoft.insights/components/qa-dps-app-insights,microsoft.insights/components,Fired,New,Application Insights,Log search,2025-10-28T00:35:31.8648115Z,2025-10-28T00:35:31.8648115Z,dfb4d041-5ad4-42d1-9c44-7b83c06762be,dps_qa_shared_rg,None
Uniform Lab Result - Form association with Result failed,Sev1,/subscriptions/dfb4d041-5ad4-42d1-9c44-7b83c06762be/resourcegroups/dps_qa_shared_rg/providers/microsoft.insights/components/qa-dps-app-insights,microsoft.insights/components,Fired,New,Log Alerts V2,Log search,2025-10-28T00:31:12.9194664Z,2025-10-28T00:31:12.9194664Z,dfb4d041-5ad4-42d1-9c44-7b83c06762be,dps_qa_shared_rg,None
CRL Lab Integration - AccessionCode is Missing from idx file,Sev1,/subscriptions/dfb4d041-5ad4-42d1-9c44-7b83c06762be/resourcegroups/dps_qa_shared_rg/providers/microsoft.insights/components/qa-dps-app-insights,microsoft.insights/components,Fired,New,Application Insights,Log search,2025-10-28T00:30:31.9574436Z,2025-10-28T00:30:31.9574436Z,dfb4d041-5ad4-42d1-9c44-7b83c06762be,dps_qa_shared_rg,None
Uniform Lab Result - Form association with Result failed,Sev1,/subscriptions/dfb4d041-5ad4-42d1-9c44-7b83c06762be/resourcegroups/dps_qa_shared_rg/providers/microsoft.insights/components/qa-dps-app-insights,microsoft.insights/components,Fired,New,Log Alerts V2,Log search,2025-10-28T00:26:15.6819457Z,2025-10-28T00:26:15.6819457Z,dfb4d041-5ad4-42d1-9c44-7b83c06762be,dps_qa_shared_rg,None
CRL Lab Integration - AccessionCode is Missing from idx file,Sev1,/subscriptions/dfb4d041-5ad4-42d1-9c44-7b83c06762be/resourcegroups/dps_qa_shared_rg/providers/microsoft.insights/components/qa-dps-app-insights,microsoft.insights/components,Fired,New,Application Insights,Log search,2025-10-28T00:25:32.5868542Z,2025-10-28T00:25:32.5868542Z,dfb4d041-5ad4-42d1-9c44-7b83c06762be,dps_qa_shared_rg,None
