NAME,RESOURCE GROUP,LOCATION,SUBSCRIPTION
"D360Members","defaultresourcegroup-ccan","Canada Central","Infrastructure Sandbox"
"dev-d360-alchemyeye-eus-func-ai","dev-d360-app-eus-rg","East US","dev-d360-sub"
"dev-d360-amzsnsapi-eus-app-ai","dev-d360-app-eus-rg","East US","dev-d360-sub"
"dev-d360-documentserver-eus-app-ai","dev-d360-app-eus-rg","East US","dev-d360-sub"
"dev-d360-estesapi-eus-app-ai","dev-d360-app-eus-rg","East US","dev-d360-sub"
"dev-d360-eus-appinsights","dev-d360-mgmt-eus-rg","East US","dev-d360-sub"
"dev-d360-inex-eus-app-ai","dev-d360-app-eus-rg","East US","dev-d360-sub"
"dev-d360-intranet-eus-app-ai","dev-d360-app-eus-rg","East US","dev-d360-sub"
"dev-d360-intranetsrv-eus-app-ai","dev-d360-app-eus-rg","East US","dev-d360-sub"
"dev-d360-members-eus-app-ai","dev-d360-app-eus-rg","East US","dev-d360-sub"
"dev-d360-restsrvcorning-eus-app-ai","dev-d360-app-eus-rg","East US","dev-d360-sub"
"dev-d360-restsrvdrugalcoholtesting-eus-app-ai","dev-d360-app-eus-rg","East US","dev-d360-sub"
"dev-d360-restsrvhankook-eus-app-ai","dev-d360-app-eus-rg","East US","dev-d360-sub"
"dev-d360-restsrvnfi-eus-app-ai","dev-d360-app-eus-rg","East US","dev-d360-sub"
"dev-d360-restsrvpatterson-eus-app-ai","dev-d360-app-eus-rg","East US","dev-d360-sub"
"dev-d360-restsrvscheduletesting-eus-app-ai","dev-d360-app-eus-rg","East US","dev-d360-sub"
"dev-d360-restsrvtenstreetxchange-eus-app-ai","dev-d360-app-eus-rg","East US","dev-d360-sub"
"dev-d360-scheduletesting-eus-app-ai","dev-d360-app-eus-rg","East US","dev-d360-sub"
"dev-d360-scheduletestingsbx-eus-app-ai","dev-d360-app-eus-rg","East US","dev-d360-sub"
"dev-d360-tokenatorapi-eus-app-ai","dev-d360-app-eus-rg","East US","dev-d360-sub"
"dev-d360-vip-eus-app-ai","dev-d360-app-eus-rg","East US","dev-d360-sub"
"dev-dgs-DISAScreen-Backend-WebApp-AppInsights","dev-dgs-DISAScreen-monitoring-eastus-rg","East US","UCP-DEV-Subscription"
"dev-dgs-DISAScreen-Frontend-WebApp-AppInsights","dev-dgs-DISAScreen-monitoring-eastus-rg","East US","UCP-DEV-Subscription"
"dev-dps-app-insights","DPS_DEV_Shared_rg","East US","DISAWorks Platform Lower"
"dev-dworks-eus-appinsights","dev-dworks-mgmt-eus-rg","East US","dev-dworks-sub"
"dev-fin-eus-appinsights","dev-fin-mgmt-eus-rg","East US","dev-fin-sub"
"dev-shrdsvcs-eus-appinsights","dev-shrdsvcs-mgmt-eus-rg","East US","dev-shrdsvcs-sub"
"dev-shrdsvcs-wus-appinsights","dev-shrdsvcs-mgmt-wus-rg","West US","dev-shrdsvcs-sub"
"disademo","demo-rg","Canada East","MDP Test"
"disascreen-ai","dev-use-disascreen","East US","UCP-DEV-Subscription"
"DISAScreen-DEV-Prometheus-WebApp-Prometheus-WebApp-AppInsights","DISAScreen-DEV-Web-RG","East US","DISAScreen-DEV-Subscription"
"DISAScreen-DEV-PrometheusLogs-WebApp-PrometheusLogs-WebApp-AppInsights","DISAScreen-DEV-Web-RG","East US","DISAScreen-DEV-Subscription"
"disascreen-integrations-dev","dev-use-disascreen","East US","UCP-DEV-Subscription"
"DISAScreen-STG-Prometheus-WebApp-Prometheus-WebApp-AppInsights","DISAScreen-STG-Web-RG","East US","DISAScreen-DEV-Subscription"
"DISAScreen-STG-PrometheusLogs-WebApp-PrometheusLogs-WebApp-AppInsights","DISAScreen-STG-Web-RG","East US","DISAScreen-DEV-Subscription"
"InexTest","InexTest_group","Canada Central","Infrastructure Sandbox"
"IntegrationGateway-PRD-Vinyl-AppService","IntegrationGateway-PRD-Web-RG","East US","IntegrationGateway-PRD-Subscription"
"IntegrationGateway-PRD-Vinyl-WebApp","IntegrationGateway-PRD-Web-RG","East US","IntegrationGateway-PRD-Subscription"
"per-dworks-eus-appinsights","per-dworks-mgmt-eus-rg","East US","per-dworks-sub"
"pf-dps-app-insights","dps_pf_shared_rg","East US","DISAWorks Platform Lower"
"prd-d360-alchemyeye-eus-func-ai","prd-d360-app-eus-rg","East US","prd-d360-sub"
"prd-d360-alchemyeye-wus-func-ai","prd-d360-app-wus-rg","West US","prd-d360-sub"
"prd-d360-amzsnsapi-eus-app-ai","prd-d360-app-eus-rg","East US","prd-d360-sub"
"prd-d360-documentserver-eus-app-ai","prd-d360-app-eus-rg","East US","prd-d360-sub"
"prd-d360-estesapi-eus-app-ai","prd-d360-app-eus-rg","East US","prd-d360-sub"
"prd-d360-eus-appinsights","prd-d360-mgmt-eus-rg","East US","prd-d360-sub"
"prd-d360-inex-eus-app-ai","prd-d360-app-eus-rg","East US","prd-d360-sub"
"prd-d360-intranet-eus-app-ai","prd-d360-app-eus-rg","East US","prd-d360-sub"
"prd-d360-intranetsrv-eus-app-ai","prd-d360-app-eus-rg","East US","prd-d360-sub"
"prd-d360-members-eus-app-ai","prd-d360-app-eus-rg","East US","prd-d360-sub"
"prd-d360-restsrvcorning-eus-app-ai","prd-d360-app-eus-rg","East US","prd-d360-sub"
"prd-d360-restsrvdrugalcoholtesting-eus-app-ai","prd-d360-app-eus-rg","East US","prd-d360-sub"
"prd-d360-restsrvhankook-eus-app-ai","prd-d360-app-eus-rg","East US","prd-d360-sub"
"prd-d360-restsrvnfi-eus-app-ai","prd-d360-app-eus-rg","East US","prd-d360-sub"
"prd-d360-restsrvpatterson-eus-app-ai","prd-d360-app-eus-rg","East US","prd-d360-sub"
